id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1103578201647927296,https://twitter.com/petesherlock79/status/1103578201647927296,Thu Mar 07 08:48:41 +0000 2019,2019-03-07 08:48:41+00:00,petesherlock79,I hope the Californian coast is working out for everybody at #NICAR19 🤨 https://t.co/KXuFC3Qdg1,original,,NICAR19,https://pbs.twimg.com/media/D1Cyg8_WoAAfeqc.jpg,,0,,,,en,,False,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",3427975797,Mon Aug 17 12:53:55 +0000 2015,False,"Assistant Editor of BBC Shared Data Unit, an innovative industry partnership.  Adopted Brummie. Among @NCTJ_news Most Respected Journalists 2018. @BBCNews #ddj",1495,831,1287,25,"Birmingham, England",Pete Sherlock,1357,,https://www.bbc.co.uk/lnp/sdu,False
1103571862280261632,https://twitter.com/hrvenkatesh/status/1103571862280261632,Thu Mar 07 08:23:29 +0000 2019,2019-03-07 08:23:29+00:00,hrvenkatesh,RT @pamaples: So cool: Stanford CS prof/Open Policing Project cofounder @5harad laying the groundwork for diving into the data. #NICAR19. h…,retweet,,NICAR19,,,0,,,,en,,,3,1103416931791527936,pamaples,106410773,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",16141134,Fri Sep 05 06:14:38 +0000 2008,False,Fellow @JSKstanford | Building @ektanewsco | @NetaData @hackshackersIN Alum @ICFJKnight @tkcuny @thequint @change @cnnnews18 @UniOfOxford,790,3377,1838,114,"Stanford, Delhi, NYC, Oxford",H R Venkatesh,6322,,,True
1103565057055707136,https://twitter.com/araneida/status/1103565057055707136,Thu Mar 07 07:56:27 +0000 2019,2019-03-07 07:56:27+00:00,araneida,"Wish I could be at #NICAR19. Have fun, you guys! Hopefully see you at #NICAR20.",original,,NICAR19 NICAR20,,,1,,,,en,,,0,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",39293,Sun Dec 03 20:39:27 +0000 2006,False,"Reporter & data journalist at @dagenssamhalle, geek girl, Swede. Interested in the future of journalism.",703,1701,2178,124,"Stockholm, Sweden",Lotta Holmström,3375,,http://lottaholmstrom.se,False
1103560450401136640,https://twitter.com/TheBAsnyder/status/1103560450401136640,Thu Mar 07 07:38:09 +0000 2019,2019-03-07 07:38:09+00:00,TheBAsnyder,"Checking in late in Newport Beach, I’m regretting that we didn’t plan any #NICAR19 events poolside by the hammock 🧐 #Fail https://t.co/ZwUb6KauLN",original,,NICAR19 Fail,https://pbs.twimg.com/media/D1CiYPaUwAAdbpb.jpg,,4,,,,en,,False,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",179324508,Tue Aug 17 01:20:13 +0000 2010,False,"Entrepreneur, Founder @VGMarketingPR; changing the PR industry 4 the love of journalism. Writing 4 @NAHJ. Profesh GIF chooser. https://t.co/RObhm3ZMJk co-founder",17404,3017,5002,220,At the corner of Communications + Diversity,BA Snyder,28322,,http://www.NAHJ.org,False
1103556838899908608,https://twitter.com/degarciaknight/status/1103556838899908608,Thu Mar 07 07:23:48 +0000 2019,2019-03-07 07:23:48+00:00,degarciaknight,RT @djordjepadejski: . @BigLocalNews workshop kicks off at #NICAR19!Journalists from local newsrooms around the country are taking a deep d…,retweet,,NICAR19,,,0,,,,en,,,6,1103404522733359104,djordjepadejski,70574113,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",55367101,Thu Jul 09 21:24:01 +0000 2009,False,"Director, John S. Knight Journalism Fellowships, Stanford; #innovation #leadership #diversity Past President @womenjournos Former @mercnews @sfchronicle @modbee",5132,3383,1227,176,"Stanford, California",Dawn Garcia,5664,,http://knight.stanford.edu,False
1103555108594343936,https://twitter.com/degarciaknight/status/1103555108594343936,Thu Mar 07 07:16:55 +0000 2019,2019-03-07 07:16:55+00:00,degarciaknight,"Go, @morisy @MuckRock @DocumentCloud and proud of how you're all building AI for the public interest &amp; a stronger media w/ the amazing crew of @JSKstanford's @MarinaWalkerG @djordjepadejski and @corizarek @pilhofer at #NICAR19. Cheering you all on from @Stanford! https://t.co/mcdZn1e7p3",quote,,NICAR19,,https://twitter.com/pamaples/status/1103391614322372614,2,,,,en,,False,0,1103391614322372614,pamaples,106410773,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",55367101,Thu Jul 09 21:24:01 +0000 2009,False,"Director, John S. Knight Journalism Fellowships, Stanford; #innovation #leadership #diversity Past President @womenjournos Former @mercnews @sfchronicle @modbee",5132,3383,1227,176,"Stanford, California",Dawn Garcia,5664,,http://knight.stanford.edu,False
1103553591594242049,https://twitter.com/degarciaknight/status/1103553591594242049,Thu Mar 07 07:10:53 +0000 2019,2019-03-07 07:10:53+00:00,degarciaknight,"RT @djordjepadejski: So, @IRE_NICAR I am hosting a panel #NICAR19 on #AIjournalism on Thursday, March 7 at 12pm, w/ some amazing ppl @Marin…",retweet,,NICAR19 AIjournalism,,,0,,,,en,,,3,1103001161949274112,djordjepadejski,70574113,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",55367101,Thu Jul 09 21:24:01 +0000 2009,False,"Director, John S. Knight Journalism Fellowships, Stanford; #innovation #leadership #diversity Past President @womenjournos Former @mercnews @sfchronicle @modbee",5132,3383,1227,176,"Stanford, California",Dawn Garcia,5664,,http://knight.stanford.edu,False
1103551929567735808,https://twitter.com/degarciaknight/status/1103551929567735808,Thu Mar 07 07:04:17 +0000 2019,2019-03-07 07:04:17+00:00,degarciaknight,RT @pamaples: Diving into the Stanford Open Policing data w/R. @CompPolicyLab’s Amy Shoemaker &amp; Daniel Jenson leading an awesome tutorial —…,retweet,,,,,0,,,,en,,,2,1103448700502761472,pamaples,106410773,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",55367101,Thu Jul 09 21:24:01 +0000 2009,False,"Director, John S. Knight Journalism Fellowships, Stanford; #innovation #leadership #diversity Past President @womenjournos Former @mercnews @sfchronicle @modbee",5132,3383,1227,176,"Stanford, California",Dawn Garcia,5664,,http://knight.stanford.edu,False
1103548464607232000,https://twitter.com/aghaynes/status/1103548464607232000,Thu Mar 07 06:50:31 +0000 2019,2019-03-07 06:50:31+00:00,aghaynes,"RT @abtran: Here’s a look at the maps we’ll be making in my “Mapping with R” #NICAR19 session on Friday. If you can’t make it, here’s the r…",retweet,,NICAR19,,,0,,,,en,,,26,1103463557289730050,abtran,11670602,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",525654957,Thu Mar 15 19:04:16 +0000 2012,False,"Statistician working in clinical trials in Switerland, likes wildlife, ale, OFAH and more",60,87,125,3,"Oftringen, Schweiz",Alan Haynes,382,,,False
1103547558272499714,https://twitter.com/sandhya__k/status/1103547558272499714,Thu Mar 07 06:46:55 +0000 2019,2019-03-07 06:46:55+00:00,sandhya__k,"RT @sharon000: Hey #NICAR19: I'm collecting #NICAR2019 links to presentations, tip sheets, tools &amp; work samples (because I don't think @Mac…",retweet,,NICAR19 NICAR2019,,,0,,,,en,,,6,1103491603312852992,sharon000,10915042,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",221255986,Tue Nov 30 04:37:53 +0000 2010,False,"Data reporter @ProPublicaIL. Likes stats, FOIA & ice cream | email: sandhya@propublica.org | DM for Signal #",8930,4686,852,259,"Chicago, IL",Sandhya Kambhampati,8559,,http://www.sandhyakambhampati.com,True
